time,open,high,low,close
2011-09-09T00:00:00Z,1838,1838,1838,1838
2011-09-12T00:00:00Z,1876,1876,1876,1876
2011-09-13T00:00:00Z,1901,1901,1901,1901
2011-09-14T00:00:00Z,1927,1927,1927,1927
2011-09-15T00:00:00Z,1907,1907,1907,1907
2011-09-16T00:00:00Z,1814,1814,1814,1814
2011-09-19T00:00:00Z,1764,1764,1764,1764
2011-09-20T00:00:00Z,1795,1795,1795,1795
2011-09-21T00:00:00Z,1811,1811,1811,1811
2011-09-22T00:00:00Z,1884,1884,1884,1884
2011-09-23T00:00:00Z,1920,1920,1920,1920
2011-09-26T00:00:00Z,1928,1928,1928,1928
2011-09-27T00:00:00Z,1927,1927,1927,1927
2011-09-28T00:00:00Z,1920,1920,1920,1920
2011-09-29T00:00:00Z,1913,1913,1913,1913
2011-09-30T00:00:00Z,1899,1899,1899,1899
2011-10-03T00:00:00Z,1886,1886,1886,1886
2011-10-04T00:00:00Z,1885,1885,1885,1885
2011-10-05T00:00:00Z,1908,1908,1908,1908
2011-10-06T00:00:00Z,1967,1967,1967,1967
2011-10-07T00:00:00Z,2000,2000,2000,2000
2011-10-10T00:00:00Z,2032,2032,2032,2032
2011-10-11T00:00:00Z,2106,2106,2106,2106
2011-10-12T00:00:00Z,2127,2127,2127,2127
2011-10-13T00:00:00Z,2155,2155,2155,2155
2011-10-14T00:00:00Z,2173,2173,2173,2173
2011-10-17T00:00:00Z,2160,2160,2160,2160
2011-10-18T00:00:00Z,2136,2136,2136,2136
2011-10-19T00:00:00Z,2140,2140,2140,2140
2011-10-20T00:00:00Z,2161,2161,2161,2161
2011-10-21T00:00:00Z,2161,2161,2153,2153
2011-10-24T00:00:00Z,2153,2153,2153,2153
2011-10-25T00:00:00Z,2161,2161,2161,2161
2011-10-26T00:00:00Z,2145,2145,2145,2145
2011-10-27T00:00:00Z,2091,2091,2091,2091
2011-10-28T00:00:00Z,2018,2018,2018,2018
2011-10-31T00:00:00Z,1965,1965,1965,1965
2011-11-01T00:00:00Z,1912,1912,1912,1912
2011-11-02T00:00:00Z,1859,1859,1859,1859
2011-11-03T00:00:00Z,1817,1817,1817,1817
2011-11-04T00:00:00Z,1784,1784,1784,1784
2011-11-07T00:00:00Z,1766,1766,1766,1766
2011-11-08T00:00:00Z,1759,1759,1759,1759
2011-11-09T00:00:00Z,1802,1802,1802,1802
2011-11-10T00:00:00Z,1840,1840,1840,1840
2011-11-11T00:00:00Z,1835,1835,1835,1835
2011-11-14T00:00:00Z,1818,1818,1818,1818
2011-11-15T00:00:00Z,1846,1846,1846,1846
2011-11-16T00:00:00Z,1884,1884,1884,1884
2011-11-17T00:00:00Z,1898,1898,1898,1898
2011-11-18T00:00:00Z,1895,1895,1895,1895
2011-11-21T00:00:00Z,1874,1874,1874,1874
2011-11-22T00:00:00Z,1854,1854,1854,1854
2011-11-23T00:00:00Z,1830,1830,1830,1830
2011-11-24T00:00:00Z,1814,1814,1814,1814
2011-11-25T00:00:00Z,1807,1807,1807,1807
2011-11-28T00:00:00Z,1809,1809,1809,1809
2011-11-29T00:00:00Z,1828,1828,1828,1828
2011-11-30T00:00:00Z,1846,1846,1846,1846
2011-12-01T00:00:00Z,1862,1862,1862,1862
2011-12-02T00:00:00Z,1866,1866,1866,1866
2011-12-05T00:00:00Z,1856,1856,1856,1856
2011-12-06T00:00:00Z,1848,1848,1848,1848
2011-12-07T00:00:00Z,1849,1849,1849,1849
2011-12-08T00:00:00Z,1882,1882,1882,1882
2011-12-09T00:00:00Z,1922,1922,1922,1922
2011-12-12T00:00:00Z,1930,1930,1930,1930
2011-12-13T00:00:00Z,1922,1922,1922,1922
2011-12-14T00:00:00Z,1912,1912,1912,1912
2011-12-15T00:00:00Z,1889,1889,1889,1889
2011-12-16T00:00:00Z,1888,1888,1888,1888
2011-12-19T00:00:00Z,1885,1885,1885,1885
2011-12-20T00:00:00Z,1878,1878,1878,1878
2011-12-21T00:00:00Z,1856,1856,1856,1856
2011-12-22T00:00:00Z,1787,1787,1787,1787
2011-12-23T00:00:00Z,1738,1738,1738,1738
2012-01-03T00:00:00Z,1624,1624,1624,1624
2012-01-04T00:00:00Z,1552,1552,1552,1552
2012-01-05T00:00:00Z,1426,1426,1426,1426
2012-01-06T00:00:00Z,1347,1347,1347,1347
2012-01-09T00:00:00Z,1308,1308,1308,1308
2012-01-10T00:00:00Z,1258,1258,1258,1258
2012-01-11T00:00:00Z,1193,1193,1193,1193
2012-01-12T00:00:00Z,1105,1105,1105,1105
2012-01-13T00:00:00Z,1053,1053,1053,1053
2012-01-16T00:00:00Z,1013,1013,1013,1013
2012-01-17T00:00:00Z,974,974,974,974
2012-01-18T00:00:00Z,926,926,926,926
2012-01-19T00:00:00Z,893,893,893,893
2012-01-20T00:00:00Z,862,862,862,862
2012-01-23T00:00:00Z,841,841,841,841
2012-01-24T00:00:00Z,807,807,807,807
2012-01-25T00:00:00Z,784,784,784,784
2012-01-26T00:00:00Z,753,753,753,753
2012-01-27T00:00:00Z,753,753,726,726
2012-01-30T00:00:00Z,702,702,702,702
2012-01-31T00:00:00Z,680,680,680,680
2012-02-01T00:00:00Z,662,662,662,662
2012-02-02T00:00:00Z,651,651,651,651
2012-02-03T00:00:00Z,647,647,647,647
2012-02-06T00:00:00Z,648,648,648,648
2012-02-07T00:00:00Z,660,660,660,660
2012-02-08T00:00:00Z,676,676,676,676
2012-02-09T00:00:00Z,695,695,695,695
2012-02-10T00:00:00Z,715,715,715,715
2012-02-13T00:00:00Z,729,729,729,729
2012-02-14T00:00:00Z,734,734,734,734
2012-02-15T00:00:00Z,731,731,731,731
2012-02-16T00:00:00Z,723,723,723,723
2012-02-17T00:00:00Z,717,717,717,717
2012-02-20T00:00:00Z,715,715,715,715
2012-02-21T00:00:00Z,706,706,706,706
2012-02-22T00:00:00Z,704,704,704,704
2012-02-23T00:00:00Z,706,706,706,706
2012-02-24T00:00:00Z,718,718,718,718
2012-02-27T00:00:00Z,730,730,730,730
2012-02-28T00:00:00Z,738,738,738,738
2012-02-29T00:00:00Z,750,750,750,750
2012-03-01T00:00:00Z,763,763,763,763
2012-03-02T00:00:00Z,771,771,771,771
2012-03-05T00:00:00Z,782,782,782,782
2012-03-06T00:00:00Z,787,787,787,787
2012-03-07T00:00:00Z,798,798,798,798
2012-03-08T00:00:00Z,812,812,812,812
2012-03-09T00:00:00Z,824,824,824,824
2012-03-12T00:00:00Z,837,837,837,837
2012-03-13T00:00:00Z,844,844,844,844
2012-03-14T00:00:00Z,855,855,855,855
2012-03-15T00:00:00Z,866,866,866,866
2012-03-16T00:00:00Z,874,874,874,874
2012-03-19T00:00:00Z,879,879,879,879
2012-03-20T00:00:00Z,884,884,884,884
2012-03-21T00:00:00Z,896,896,896,896
2012-03-22T00:00:00Z,902,902,902,902
2012-03-23T00:00:00Z,908,908,908,908
2012-03-26T00:00:00Z,912,912,912,912
